,6reviewer_country,8country,9country_mod
1994,"New Delhi, Delhi, India", India,India
1995,Manila,Manila,Philippines
1996,"Sydney, Australia", Australia,Australia
1997,No Value,No Value,No Value
1998,"New Delhi, India", India,India
1999,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
0,No Value,No Value,No Value
1,"New Delhi, India", India,India
2,No Value,No Value,No Value
3,"Accra, Ghana", Ghana,Ghana
4,"Singapore, Singapore", Singapore,Singapore
5,"Auckland, Auckland, New Zealand", New Zealand,New Zealand
6,"Kandy, Sri Lanka", Sri Lanka,Sri Lanka
7,"Singapore, Singapore", Singapore,Singapore
8,"Sydney, Australia", Australia,Australia
9,"Karachi, Pakistan", Pakistan,Pakistan
10,No Value,No Value,No Value
11,"Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
12,QC,QC,Canada
13,"Chennai (Madras), India", India,India
14,"Singapore, Singapore", Singapore,Singapore
15,"Hyderabad, India", India,India
16,No Value,No Value,No Value
17,"Jakarta, Indonesia", Indonesia,Indonesia
18,"Surat, India", India,India
19,"Seoul, South Korea", South Korea,South Korea
20,Malaysia,Malaysia,Malaysia
21,Thailand,Thailand,Thailand
22,"Mumbai (Bombay), India", India,India
23,"Hong Kong, China", China,China
24,"Singapore, Singapore", Singapore,Singapore
25,No Value,No Value,No Value
26,"Jakarta, Indonesia", Indonesia,Indonesia
27,"Singapore, Singapore", Singapore,Singapore
28,"Singapore, Singapore", Singapore,Singapore
29,"Sydney, Australia", Australia,Australia
30,No Value,No Value,No Value
31,No Value,No Value,No Value
32,"New Delhi, India", India,India
33,"Penang, Malaysia", Malaysia,Malaysia
34,"Singapore, Singapore", Singapore,Singapore
35,"Pondicherry, India", India,India
36,No Value,No Value,No Value
37,"Belfast, United Kingdom", United Kingdom,United Kingdom
38,"Singapore, Singapore", Singapore,Singapore
39,"Perth, Australia", Australia,Australia
40,"Mumbai (Bombay), India", India,India
41,"Glasgow, United Kingdom", United Kingdom,United Kingdom
42,No Value,No Value,No Value
43,"Gurugram (Gurgaon), India", India,India
44,No Value,No Value,No Value
45,"Bangkok, Thailand", Thailand,Thailand
46,"London, United Kingdom", United Kingdom,United Kingdom
47,"Manila, Philippines", Philippines,Philippines
48,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
49,No Value,No Value,No Value
50,"Hyderabad, India", India,India
51,India,India,India
52,"Perth, Australia", Australia,Australia
53,"Bengaluru, India", India,India
54,No Value,No Value,No Value
55,"Makati, Philippines", Philippines,Philippines
56,No Value,No Value,No Value
57,"Kolkata (Calcutta), India", India,India
58,"Perth, Australia", Australia,Australia
59,gurgaon,gurgaon,No Value
60,"Mumbai (Bombay), India", India,India
61,"London, United Kingdom", United Kingdom,United Kingdom
62,No Value,No Value,No Value
63,No Value,No Value,No Value
64,"Singapore, Singapore", Singapore,Singapore
65,"Varanasi, India", India,India
66,No Value,No Value,No Value
67,No Value,No Value,No Value
68,No Value,No Value,No Value
69,No Value,No Value,No Value
70,No Value,No Value,No Value
71,"Mumbai (Bombay), India", India,India
72,"Rajapalayam, India", India,India
73,No Value,No Value,No Value
74,"Singapore, Singapore", Singapore,Singapore
75,London,London,United Kingdom
76,No Value,No Value,No Value
77,No Value,No Value,No Value
78,No Value,No Value,No Value
79,"Singapore, Singapore", Singapore,Singapore
80,"Singapore, Singapore", Singapore,Singapore
81,"Jakarta, Indonesia", Indonesia,Indonesia
82,"Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
83,No Value,No Value,No Value
84,"Bangkok, Thailand", Thailand,Thailand
85,"Mumbai (Bombay), India", India,India
86,No Value,No Value,No Value
87,No Value,No Value,No Value
88,"Bengaluru, India", India,India
89,Singapore,Singapore,Singapore
90,"Mumbai (Bombay), India", India,India
91,No Value,No Value,No Value
92,No Value,No Value,No Value
93,No Value,No Value,No Value
94,"Guwahati, India", India,India
95,No Value,No Value,No Value
96,"Mumbai (Bombay), India", India,India
97,"Chennai (Madras), India", India,India
98,"Singapore, Singapore", Singapore,Singapore
99,Mumbai,Mumbai,India
100,"Perth, Australia", Australia,Australia
101,"Singapore, Singapore", Singapore,Singapore
102,"Auckland Region, New Zealand", New Zealand,New Zealand
103,"Jakarta, Indonesia", Indonesia,Indonesia
104,Ljungskile,Ljungskile,Sweden
105,No Value,No Value,No Value
106,No Value,No Value,No Value
107,Sydney,Sydney,Australia
108,Singapore,Singapore,Singapore
109,"Melbourne, Australia", Australia,Australia
110,"Melbourne, Australia", Australia,Australia
111,"Auckland, New Zealand", New Zealand,New Zealand
112,"Singapore, Singapore", Singapore,Singapore
113,"Dhaka City, Bangladesh", Bangladesh,Bangladesh
114,"Chennai (Madras), India", India,India
115,"Bangalore, Karnataka, India", India,India
116,"NoCity, NoCountry", NoCountry,Norway
117,"Chennai (Madras), India", India,India
118,"Sydney, Australia", Australia,Australia
119,"Davao City, Philippines", Philippines,Philippines
120,"Mumbai (Bombay), India", India,India
121,"Brisbane, Australia", Australia,Australia
122,Singapore,Singapore,Singapore
123,No Value,No Value,No Value
124,"Jakarta, Indonesia", Indonesia,Indonesia
125,No Value,No Value,No Value
126,"Singapore, Singapore", Singapore,Singapore
127,"Cebu City, Philippines", Philippines,Philippines
128,"Kristiansand, Norway", Norway,Norway
129,No Value,No Value,No Value
130,"Perth, Australia", Australia,Australia
131,"Singapore, Singapore", Singapore,Singapore
132,"Singapore, Singapore", Singapore,Singapore
133,"Graz, Austria", Austria,Austria
134,"Singapore, Singapore", Singapore,Singapore
135,"Bangkok, Thailand", Thailand,Thailand
136,Australia,Australia,Australia
137,"Jakarta, Jakarta Raya, Indonesia", Indonesia,Indonesia
138,"Melbourne, Australia", Australia,Australia
139,No Value,No Value,No Value
140,Singapore,Singapore,Singapore
141,"Goa, India", India,India
142,"Sydney, Australia", Australia,Australia
143,No Value,No Value,No Value
144,No Value,No Value,No Value
145,"Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
146,Singapore,Singapore,Singapore
147,"Melbourne, Australia", Australia,Australia
148,HO Chi Minh,HO Chi Minh,Vietnam
149,Mumbai,Mumbai,India
150,No Value,No Value,No Value
151,No Value,No Value,No Value
152,No Value,No Value,No Value
153,No Value,No Value,No Value
154,"New Delhi, India", India,India
155,"Sydney, Australia", Australia,Australia
156,"Singapore, null, Singapore", Singapore,Singapore
157,No Value,No Value,No Value
158,Perth,Perth,Australia
159,No Value,No Value,No Value
160,england,england,United Kingdom
161,Manila,Manila,Philippines
162,Mumbai,Mumbai,India
163,"Jakarta, Indonesia", Indonesia,Indonesia
164,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
165,"Jakarta, Indonesia", Indonesia,Indonesia
166,"Quezon City, Philippines", Philippines,Philippines
167,No Value,No Value,No Value
168,"Prague, Czech Republic", Czech Republic,Czechia
169,No Value,No Value,No Value
170,"Mumbai, Maharashtra, India", India,India
171,No Value,No Value,No Value
172,Goa,Goa,India
173,"Pune, India", India,India
174,"Adelaide, Australia", Australia,Australia
175,"Darwin, Australia", Australia,Australia
176,No Value,No Value,No Value
177,"New Delhi, India", India,India
178,"Kochi (Cochin), India", India,India
179,"Christchurch, New Zealand", New Zealand,New Zealand
180,"Udaipur, India", India,India
181,"Bengaluru, India", India,India
182,No Value,No Value,No Value
183,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
184,"Ahmedabad, India", India,India
185,Pune,Pune,India
186,"Melbourne, Australia", Australia,Australia
187,No Value,No Value,No Value
188,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
189,"Greater London, United Kingdom", United Kingdom,United Kingdom
190,"Hong Kong, China", China,China
191,No Value,No Value,No Value
192,Adelaide,Adelaide,Australia
193,"Bangkok, Thailand", Thailand,Thailand
194,"Riyadh, Saudi Arabia", Saudi Arabia,Saudi Arabia
195,No Value,No Value,No Value
196,No Value,No Value,No Value
197,Singapore,Singapore,Singapore
198,No Value,No Value,No Value
199,"Islamabad Capital Territory, Pakistan", Pakistan,Pakistan
200,"Blenheim, New Zealand", New Zealand,New Zealand
201,"Mumbai (Bombay), India", India,India
202,No Value,No Value,No Value
203,barden ridge,barden ridge,Australia
204,"Singapore, Singapore", Singapore,Singapore
205,"Malabon, Philippines", Philippines,Philippines
206,No Value,No Value,No Value
207,"Chennai (Madras), India", India,India
208,"Paranaque, Philippines", Philippines,Philippines
209,Singapore,Singapore,Singapore
210,honolulu,honolulu,United States
211,"Johannesburg, South Africa", South Africa,South Africa
212,"Mumbai (Bombay), India", India,India
213,No Value,No Value,No Value
214,"Adelaide, Australia", Australia,Australia
215,Tehran,Tehran,Iran
216,"Jakarta, Indonesia", Indonesia,Indonesia
217,No Value,No Value,No Value
218,Cochin,Cochin,India
219,"Brisbane, Australia", Australia,Australia
220,No Value,No Value,No Value
221,"Mumbai (Bombay), India", India,India
222,No Value,No Value,No Value
223,"Perth, Australia", Australia,Australia
224,No Value,No Value,No Value
225,"Matamata, New Zealand", New Zealand,New Zealand
226,No Value,No Value,No Value
227,"Melbourne, Australia", Australia,Australia
228,No Value,No Value,No Value
229,"Canberra, Australia", Australia,Australia
230,"Thiruvananthapuram (Trivandrum), India", India,India
231,"Singapore, Singapore", Singapore,Singapore
232,"Perth, Australia", Australia,Australia
233,No Value,No Value,No Value
234,Pune,Pune,India
235,"Singapore, Singapore", Singapore,Singapore
236,No Value,No Value,No Value
237,"Denpasar, Indonesia", Indonesia,Indonesia
238,"Beihai, China", China,China
239,KL,KL,Malaysia
240,"Rotherham, United Kingdom", United Kingdom,United Kingdom
241,penang,penang,Malaysia
242,"Hong Kong, China", China,China
243,"Perth, Australia", Australia,Australia
244,No Value,No Value,No Value
245,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
246,"Bengaluru, Karnataka, India", India,India
247,No Value,No Value,No Value
248,"New York City, New York", New York,United States
249,No Value,No Value,No Value
250,Gold Coast Australia,Gold Coast Australia,Australia
251,"Bengaluru, India", India,India
252,Singapore,Singapore,Singapore
253,"Mumbai (Bombay), India", India,India
254,No Value,No Value,No Value
255,"Singapore, Singapore", Singapore,Singapore
256,"Port Campbell, Australia", Australia,Australia
257,California,California,United States
258,"Dhaka City, Bangladesh", Bangladesh,Bangladesh
259,"Singapore, Singapore", Singapore,Singapore
260,"Melbourne, Australia", Australia,Australia
261,"Davao City, Philippines", Philippines,Philippines
262,"Glasgow, United Kingdom", United Kingdom,United Kingdom
263,No Value,No Value,No Value
264,"Lucknow, Uttar Pradesh, India", India,India
265,"New Delhi, India", India,India
266,"Victoria, Australia", Australia,Australia
267,"Bangkok, Thailand", Thailand,Thailand
268,"Johor Bahru, Malaysia", Malaysia,Malaysia
269,"Sydney, Australia", Australia,Australia
270,"Austin, Texas", Texas,United States
271,Gurgaon,Gurgaon,India
272,No Value,No Value,No Value
273,"New Delhi, India", India,India
274,No Value,No Value,No Value
275,No Value,No Value,No Value
276,"Colombo, Sri Lanka", Sri Lanka,Sri Lanka
277,"Singapore, Singapore", Singapore,Singapore
278,"Bengaluru, India", India,India
279,"Christchurch, New Zealand", New Zealand,New Zealand
280,"Colombo, Sri Lanka", Sri Lanka,Sri Lanka
281,"Hanoi, Vietnam", Vietnam,Vietnam
282,"Johannesburg, South Africa", South Africa,South Africa
283,"New Delhi, India", India,India
284,Bangalore,Bangalore,India
285,"Delhi, Delhi, India", India,India
286,No Value,No Value,No Value
287,"Jakarta, Indonesia", Indonesia,Indonesia
288,No Value,No Value,No Value
289,"Mexico City, Mexico", Mexico,Mexico
290,Singapore,Singapore,Singapore
291,"Singapore, Singapore", Singapore,Singapore
292,Malaysia,Malaysia,Malaysia
293,"Belgrade, Serbia", Serbia,Serbia
294,No Value,No Value,No Value
295,"Sydney, Australia", Australia,Australia
296,"Mumbai (Bombay), India", India,India
297,"Perth, Australia", Australia,Australia
298,No Value,No Value,No Value
299,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
300,"Mumbai (Bombay), India", India,India
301,"Province of Buenos Aires, Argentina", Argentina,Argentina
302,"Sydney, Australia", Australia,Australia
303,"Bangkok, Thailand", Thailand,Thailand
304,"Perth, Australia", Australia,Australia
305,No Value,No Value,No Value
306,"Devonport, Australia", Australia,Australia
307,"New Delhi, India", India,India
308,"Bengaluru, India", India,India
309,"Lancing, United Kingdom", United Kingdom,United Kingdom
310,No Value,No Value,No Value
311,"New Delhi, India", India,India
312,"Melbourne, Australia", Australia,Australia
313,"NSW Central Coast, Australia", Australia,Australia
314,"Singapore, Singapore", Singapore,Singapore
315,"Perth, Australia", Australia,Australia
316,"Singapore, Singapore", Singapore,Singapore
317,No Value,No Value,No Value
318,"Wellington, New Zealand", New Zealand,New Zealand
319,No Value,No Value,No Value
320,No Value,No Value,No Value
321,No Value,No Value,No Value
322,No Value,No Value,No Value
323,No Value,No Value,No Value
324,"Cebu City, Philippines", Philippines,Philippines
325,"Mumbai (Bombay), India", India,India
326,"Waikerie, Australia", Australia,Australia
327,"Chennai (Madras), India", India,India
328,"Manila, Philippines", Philippines,Philippines
329,"Abu Dhabi, United Arab Emirates", United Arab Emirates,United Arab Emirates
330,No Value,No Value,No Value
331,No Value,No Value,No Value
332,"Gampaha, Sri Lanka", Sri Lanka,Sri Lanka
333,No Value,No Value,No Value
334,No Value,No Value,No Value
335,"Bangkok, Thailand", Thailand,Thailand
336,"Sydney, Australia", Australia,Australia
337,"Baguio, Philippines", Philippines,Philippines
338,"Melbourne, Victoria, Australia", Australia,Australia
339,"Mexico City, Mexico", Mexico,Mexico
340,"Colombo, Sri Lanka", Sri Lanka,Sri Lanka
341,No Value,No Value,No Value
342,"Bengaluru, India", India,India
343,No Value,No Value,No Value
344,No Value,No Value,No Value
345,No Value,No Value,No Value
346,"Tamuning, Mariana Islands", Mariana Islands,Northern Mariana Islands
347,"Mumbai (Bombay), India", India,India
348,Davao,Davao,Philippines
349,Australia,Australia,Australia
350,"Kozhikode, India", India,India
351,No Value,No Value,No Value
352,No Value,No Value,No Value
353,"Perth, Australia", Australia,Australia
354,"Durban, South Africa", South Africa,South Africa
355,"Hong Kong, China", China,China
356,No Value,No Value,No Value
357,"Toronto, Canada", Canada,Canada
358,No Value,No Value,No Value
359,"Ballarat, Vic", Vic,Australia
360,"Guangzhou, China", China,China
361,No Value,No Value,No Value
362,No Value,No Value,No Value
363,No Value,No Value,No Value
364,"Dehradun, India", India,India
365,perth,perth,Australia
366,No Value,No Value,No Value
367,"Shanghai, China", China,China
368,"Hong Kong, China", China,China
369,bangalore,bangalore,India
370,"Jerusalem, Israel", Israel,Israel
371,karanwiz,karanwiz,No Value
372,"Dunedin, New Zealand", New Zealand,New Zealand
373,Ireland,Ireland,
374,Perth,Perth,Australia
375,No Value,No Value,No Value
376,"Perth, AUS", AUS,Australia
377,"Perth, Australia", Australia,Australia
378,Indonesia,Indonesia,Indonesia
379,No Value,No Value,No Value
380,"Beerwah, Australia", Australia,Australia
381,"Chandigarh, India", India,India
382,"Brisbane, Australia", Australia,Australia
383,No Value,No Value,No Value
384,No Value,No Value,No Value
385,Singapore,Singapore,Singapore
386,No Value,No Value,No Value
387,"Forster, NSW", NSW,Australia
388,"Singapore, Singapore", Singapore,Singapore
389,"Brisbane, Australia", Australia,Australia
390,No Value,No Value,No Value
391,No Value,No Value,No Value
392,United Arab Emirates,United Arab Emirates,United Arab Emirates
393,"Sydney, Australia", Australia,Australia
394,"Sydney, Australia", Australia,Australia
395,Katanning,Katanning,Australia
396,United Kingdom,United Kingdom,United Kingdom
397,"Hong Kong, China", China,China
398,No Value,No Value,No Value
399,"Perth, Australia", Australia,Australia
400,"Colombo, Sri Lanka", Sri Lanka,Sri Lanka
401,No Value,No Value,No Value
402,"Mangalore, India", India,India
403,"Sydney, Australia", Australia,Australia
404,"Chennai (Madras), India", India,India
405,"New Delhi, India", India,India
406,"Adelaide, Australia", Australia,Australia
407,Bangalore,Bangalore,India
408,"Bengaluru, India", India,India
